id,icon,value,label,sub_label
1,,2600개,참가 게임 수,+16% (전년 대비)
2,,18개,게임당 태그 수,TOP 10 기준
3,,7.8개,평균 언어 지원,자막은 평균 8.2개
4,,4.2개,커뮤니티 채널 수,Discord/YouTube/X 필수
