id,label,value,subtext,icon,color
top1_wishlists,1위 찜 수,744K,+151K (592K -> 744K),🏆,#FFD700
multi_ratio,멀티플레이,70%,TOP10,👥,#0047AB
top_genre,최다 장르,로그라이크,7개 (TOP29),⚔️,#10B981
korean_rank,한국 게임,1위,액션 RPG,🇰🇷,#E11D48
