name,developer,publisher,appearance_count,best_rank,five_days_consecutive
빈딕투스: 디파잉 페이트,NEXON,NEXON,5,1위,Y
PIONER,GFAGAMES,GFAGAMES,5,2위,Y
Escape from Duckov,Team Soda,bilibili,5,3위,Y
나 혼자만 레벨업,Netmarble Neo,Netmarble,2,8위,N
MIMESIS,Unknown,Unknown,5,4위,Y
