id,icon,value,label,sub_label,tags
1,,47,3종 차트 진입 게임 수,개,인기 체험판|인기 출시 예정|떠오르는 출시 예정
2,,빈딕투스: 디파잉 페이트,최다 차트인 게임,14회 차트 진입,5일간 TOP 10 내 14회 진입 달성
