chart_type,data_type,labels,values
genre_distribution,doughnut,로그라이크|액션 RPG|슈팅|공포|전략|건설|기타,14|8|6|5|4|3|10
multiplayer_vs_single,doughnut,멀티플레이|싱글플레이,27|23
demo_availability,doughnut,체험판 제공|미제공,29|21
